"","Council","Internet Access","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"95","Moray","Base","300","310","300","320","250","210","230","240","*","70","80","80","80","80","80","60","70"
"96","Na h-Eileanan Siar","Yes","40.2","41.8","50.5","56","63.9","58.9","62.5","70.4","*","70.4","71.6","69.8","80.6","82","82.4","82.6","81.2"
"97","Na h-Eileanan Siar","No","59.8","58.2","49.1","44","36.1","40.4","37","29.6","*","29.6","28.4","30.2","19.4","18","17.6","17.4","18.8"
"98","Na h-Eileanan Siar","Don't know","-","-","0.4","-","-","0.6","0.5","-","*","-","-","-","-","-","-","-","-"
"99","Na h-Eileanan Siar","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"100","Na h-Eileanan Siar","Base","290","260","260","250","210","170","190","180","*","80","100","90","100","90","100","90","70"
"101","North Ayrshire","Yes","30.5","38.6","45.9","49","61.4","54.5","62.9","65.7","*","72.6","72.6","83.1","85.2","87","90.5","90.1","92.6"
"102","North Ayrshire","No","69.5","61.4","54.1","51","38.6","44.7","37.1","34.3","*","27.4","26.5","16.9","14.8","13","9.5","9.9","7.4"
"103","North Ayrshire","Don't know","-","-","-","-","-","0.9","-","-","*","-","1","-","-","-","-","-","-"
"104","North Ayrshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"105","North Ayrshire","Base","350","400","330","390","260","280","310","280","*","100","90","80","80","90","70","60","70"
"106","North Lanarkshire","Yes","37.1","36.9","44","44.6","54.8","61.4","65.4","66.8","*","72.8","78.4","79.7","73.6","80.7","79","88.6","88.7"
"107","North Lanarkshire","No","62.8","62.9","56","55.2","45.2","38.6","34.6","33.2","*","27.2","21.6","20.3","25.8","19.3","21","11.4","11.3"
"108","North Lanarkshire","Don't know","0.1","0.2","-","0.2","-","-","-","-","*","-","-","-","0.6","-","-","-","-"
"109","North Lanarkshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"110","North Lanarkshire","Base","860","900","920","920","560","530","510","570","*","150","140","160","150","160","150","160","180"
"111","Orkney Islands","Yes","43.9","56.6","56.4","54","65.7","67.2","72.6","69.1","*","67.7","79.1","74.3","82.6","86.7","87.6","82.3","93.4"
"112","Orkney Islands","No","56.1","43.4","43.6","46","34.3","32.8","27.4","30.5","*","32.3","20.9","25.7","17.4","13.3","12.4","17.7","6.6"
"113","Orkney Islands","Don't know","-","-","-","-","-","-","-","0.4","*","-","-","-","-","-","-","-","-"
"114","Orkney Islands","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"115","Orkney Islands","Base","330","340","330","300","210","210","190","170","*","100","80","90","90","80","80","70","70"
"116","Perth & Kinross","Yes","43.6","52.5","51.7","60.8","64.3","73.3","65","73.8","*","79.6","74.2","75.1","80.8","71.8","92.8","86.3","92.8"
"117","Perth & Kinross","No","56.1","47.3","48.3","39.2","35.7","26.7","34.7","26.2","*","20.4","25.8","24.9","19.2","28.2","7.2","13.7","7.2"
"118","Perth & Kinross","Don't know","0.3","0.3","-","-","-","-","0.3","-","*","-","-","-","-","-","-","-","-"
"119","Perth & Kinross","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"120","Perth & Kinross","Base","330","340","370","340","330","270","300","300","*","80","90","90","90","90","80","60","60"
"121","Renfrewshire","Yes","41.9","49","50.3","53.7","61.4","60.9","63.4","71.2","*","67.6","80.9","77.5","79","73","85.1","89.1","81.2"
"122","Renfrewshire","No","57.7","50.8","49.2","46.3","38.6","38.8","36.6","28.8","*","32.4","19.1","22.5","21","25.9","14.9","10.9","18.8"
"123","Renfrewshire","Don't know","0.4","0.2","0.5","-","-","0.3","-","-","*","-","-","-","-","1.1","-","-","-"
"124","Renfrewshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"125","Renfrewshire","Base","480","520","450","470","300","310","320","350","*","90","90","90","100","100","70","70","80"
"126","Scotland","Yes","42.1","44.9","49","52.9","57.6","62.2","65.1","68.7","72.7","75.7","78","80.2","80.1","82.5","85","86.7","87.7"
"127","Scotland","No","57.7","55","50.9","47","42.4","37.6","34.8","31.3","27.3","24.2","21.9","19.6","19.9","17.4","15","13.2","12.2"
"128","Scotland","Don't know","0.2","0.1","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0.1","0.2","0.1","0.1","0","0.1","0.1"
"129","Scotland","All","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"130","Scotland","Base","14880","15940","15390","15620","11330","10370","11040","10310","10780","3420","3470","3380","3270","3390","3190","2870","2990"
"131","Scottish Borders","Yes","47.1","42.4","43.4","52.7","58.4","57.4","61.1","65.9","*","71.4","82.1","77.3","79","79.1","81.3","87.9","89.5"
"132","Scottish Borders","No","52.9","57.6","56.6","47.3","41.6","42.6","38.6","34.1","*","28.6","17.9","22.7","21","19.6","18.7","12.1","10.5"
"133","Scottish Borders","Don't know","-","-","-","-","-","-","0.4","-","*","-","-","-","-","1.2","-","-","-"
"134","Scottish Borders","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"135","Scottish Borders","Base","320","340","330","340","260","210","230","230","*","90","80","80","70","80","70","70","60"
"136","Shetland Islands","Yes","47.4","48.5","49.1","68.3","74.4","72.2","74.1","72.8","*","75.3","74.9","79.8","88.4","87.3","92.1","94.3","95.4"
"137","Shetland Islands","No","52.2","51.3","50.9","31.7","25.2","27.8","25.9","27.2","*","24.7","25.1","20.2","11.6","12.7","7.9","5.7","4.6"
"138","Shetland Islands","Don't know","0.4","0.2","-","-","0.4","-","-","-","*","-","-","-","-","-","-","-","-"
"139","Shetland Islands","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"140","Shetland Islands","Base","310","340","320","300","170","150","170","170","*","90","90","80","80","90","90","70","70"
"141","South Ayrshire","Yes","44.1","47","50.9","44.2","59.1","61.3","62.2","61.1","*","69.5","77.7","81.5","82","82","85.4","92.9","93.3"
"142","South Ayrshire","No","55.6","53","48.7","55.8","40.9","38.7","37.8","38.9","*","30.5","22.3","17.7","18","18","14.6","7.1","6.7"
"143","South Ayrshire","Don't know","0.3","-","0.3","-","-","-","-","-","*","-","-","0.9","-","-","-","-","-"
"144","South Ayrshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"145","South Ayrshire","Base","310","310","320","300","250","200","210","220","*","80","90","90","100","90","80","60","70"
"146","South Lanarkshire","Yes","41.4","42.2","51.6","53.5","52.9","61.7","64.7","68.6","*","74.7","75.2","79.4","72.8","85.1","81.5","91.3","82.7"
