"","Council","Rating","1999/2000","2001/2002","2003/2004","2005/2006","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"164","North Ayrshire","Fairly poor","5.9","4.3","6","7","6.8","4.4","*","7.1","10.3","3","3.7","3.2","4.7","4.3","4.7"
"165","North Ayrshire","Very poor","2.7","2.2","2.4","3.1","2.5","2.1","*","0.7","1.2","0.9","1.7","1.2","3.7","1.7","2.8"
"166","North Ayrshire","No opinion","0.2","0.3","-","-","0.2","0.4","*","-","-","-","0.3","-","-","-","0.5"
"167","North Ayrshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"168","North Ayrshire","Base","780","730","700","680","510","720","*","300","240","250","240","260","210","220","230"
"169","North Lanarkshire","Very/fairly good","86.6","87.2","90.4","89.5","89.4","92.9","*","94.3","91.8","92.8","93.4","94.8","94.6","90.3","91.8"
"170","North Lanarkshire","Very good","40.6","39.9","42.6","41.6","42.4","47.9","*","51.9","50.3","50.1","49.6","46.4","51.3","47.4","46.7"
"171","North Lanarkshire","Fairly good","46","47.3","47.8","47.9","46.9","45","*","42.4","41.5","42.7","43.8","48.4","43.3","42.9","45.1"
"172","North Lanarkshire","Fairly poor","7.8","8","6","6.6","6.9","4.6","*","3.9","5.3","3.9","4.7","4.2","4.2","7.7","6"
"173","North Lanarkshire","Very poor","5.1","4.3","3.2","3.8","3","2.4","*","1.6","2.8","3.3","1.8","1","1.1","1.5","2.3"
"174","North Lanarkshire","No opinion","0.5","0.6","0.4","0.2","0.7","0.1","*","0.2","0.1","0.1","0.1","-","0.1","0.5","-"
"175","North Lanarkshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"176","North Lanarkshire","Base","1500","1550","1630","1620","990","1260","*","410","430","450","410","440","420","440","460"
"177","Orkney Islands","Very/fairly good","97.8","96.9","98.3","98.5","98.8","98.2","*","97.6","99.5","99.1","99.2","98.4","99.5","100","98.4"
"178","Orkney Islands","Very good","62.1","69","74.5","78.9","77.9","84.3","*","79.6","85.5","80.1","83.1","81.8","83.9","82","74.5"
"179","Orkney Islands","Fairly good","35.7","27.9","23.7","19.6","20.9","13.9","*","18","14","19","16.1","16.6","15.6","18","23.9"
"180","Orkney Islands","Fairly poor","1.8","0.7","1.7","0.9","0.5","0.8","*","2.2","0.3","-","0.6","1.4","0.5","-","0.9"
"181","Orkney Islands","Very poor","0.2","1.7","0.1","0.6","0.7","0.8","*","0.2","-","0.4","0.2","-","-","-","0.6"
"182","Orkney Islands","No opinion","0.3","0.7","-","-","-","0.2","*","-","0.2","0.5","-","0.2","-","-","-"
"183","Orkney Islands","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"184","Orkney Islands","Base","510","620","640","620","400","480","*","290","280","270","280","230","240","260","250"
"185","Perth & Kinross","Very/fairly good","96.6","95.4","95.3","94.5","95.2","96.5","*","93.7","97.3","98.2","94.5","95.4","97.4","97.8","97.5"
"186","Perth & Kinross","Very good","68.4","65.4","66.7","63.6","64","65.3","*","64.2","67.3","68.3","59.6","60.9","65.2","68.4","68.5"
"187","Perth & Kinross","Fairly good","28.1","30","28.5","30.9","31.2","31.2","*","29.5","30","29.9","34.9","34.5","32.2","29.4","29"
"188","Perth & Kinross","Fairly poor","2.3","2.5","3.8","3.6","1.9","2.7","*","1.9","2.4","1.2","3.3","3","2.6","1.5","2.5"
"189","Perth & Kinross","Very poor","0.9","2","0.6","0.9","2.6","0.7","*","2.8","-","0.2","1.6","1.6","-","0.7","-"
"190","Perth & Kinross","No opinion","0.2","0.1","0.3","1","0.3","0.1","*","1.7","0.3","0.4","0.6","-","-","-","-"
"191","Perth & Kinross","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
