"","Year","Council","Rating","20% most deprived","2","3","4","20% least deprived","All"
"309","2013","Edinburgh, City of","Very good","29","25.1","40.2","58","63","49.3"
"310","2013","Falkirk","Very good","*","49.5","*","*","*","52.1"
"311","2013","Fife","Very good","24.6","42.4","47.4","72.4","72.6","52.5"
"312","2013","Glasgow City","Very good","32.8","42.1","46.3","67.6","80","44.2"
"313","2013","Highland","Very good","*","69.5","70.1","82.1","*","70.9"
"314","2013","Inverclyde","Very good","43.3","*","*","*","*","58.9"
"315","2013","Midlothian","Very good","*","25.6","41.9","51.7","*","45"
"316","2013","Moray","Very good","*","*","52.6","67.6","*","58.5"
"317","2013","Na-h Eileanan Siar","Very good","-","77.8","88.1","*","-","85.1"
"318","2013","North Ayrshire","Very good","22.7","35.3","*","*","*","47"
"319","2013","North Lanarkshire","Very good","33.7","47","60.5","*","*","50.3"
"320","2013","Orkney Islands","Very good","-","73.3","*","90","*","85.5"
"321","2013","Perth & Kinross","Very good","*","*","*","77.4","83.3","67.3"
"322","2013","Renfrewshire","Very good","36.5","49.3","62.6","*","*","60.7"
"323","2013","Scotland","Very good","30.2","42.8","56","70.4","75.4","55.2"
"324","2013","Scottish Borders","Very good","*","*","64","78.8","*","70.5"
"325","2013","Shetland Islands","Very good","-","*","73.7","83.5","*","77.8"
"326","2013","South Ayrshire","Very good","*","51.8","54.6","*","72.5","57.3"
"327","2013","South Lanarkshire","Very good","24.7","37.3","53","68.9","78.6","51.5"
"328","2013","Stirling","Very good","*","39.4","*","81.4","86.9","66.6"
"329","2013","West Dunbartonshire","Very good","26.6","49.6","56.1","*","*","45.5"
"330","2013","West Lothian","Very good","*","40.5","57.1","*","*","52.2"
"331","2013","Aberdeen City","Fairly good","*","62.4","43.4","*","17.6","38.1"
"332","2013","Aberdeenshire","Fairly good","*","*","51.2","27","18.8","32.6"
"333","2013","Angus","Fairly good","*","*","43.2","27.2","*","35.9"
"334","2013","Argyll & Bute","Fairly good","*","*","29.5","15.4","*","30.5"
"335","2013","Clackmannanshire","Fairly good","64.1","64.4","51","*","*","48.8"
"336","2013","Dumfries & Galloway","Fairly good","*","39.2","28.9","29.7","*","32.8"
"337","2013","Dundee City","Fairly good","62.3","57","*","*","*","51.2"
"338","2013","East Ayrshire","Fairly good","50.8","60.7","*","*","*","47.6"
"339","2013","East Dunbartonshire","Fairly good","*","*","*","*","20.5","27"
"340","2013","East Lothian","Fairly good","*","46.6","*","31.5","*","35.5"
"341","2013","East Renfrewshire","Fairly good","*","*","*","*","19.8","24.3"
"342","2013","Edinburgh, City of","Fairly good","54.1","68.7","51.3","38","35.8","45.4"
"343","2013","Falkirk","Fairly good","*","47.4","*","*","*","41.5"
"344","2013","Fife","Fairly good","60.4","52.2","49.2","24.3","26.5","42.1"
"345","2013","Glasgow City","Fairly good","50.1","48.2","51","31.6","20","45.4"
"346","2013","Highland","Fairly good","*","27.4","26.8","16.4","*","26.5"
"347","2013","Inverclyde","Fairly good","46.2","*","*","*","*","36"
"348","2013","Midlothian","Fairly good","*","61.5","54.6","45.1","*","48.1"
"349","2013","Moray","Fairly good","*","*","44.9","32.4","*","37.7"
"350","2013","Na-h Eileanan Siar","Fairly good","-","20.1","10.1","*","-","13.1"
"351","2013","North Ayrshire","Fairly good","54.6","48.8","*","*","*","41.6"
"352","2013","North Lanarkshire","Fairly good","49.2","46","34.9","*","*","41.5"
"353","2013","Orkney Islands","Fairly good","-","24.3","*","10","*","14"
"354","2013","Perth & Kinross","Fairly good","*","*","*","21.8","16.7","30"
"355","2013","Renfrewshire","Fairly good","48.9","45.1","31.9","*","*","33.2"
"356","2013","Scotland","Fairly good","54","50.5","39.9","27.2","23.8","38.9"
"357","2013","Scottish Borders","Fairly good","*","*","31.7","18.9","*","25.9"
"358","2013","Shetland Islands","Fairly good","-","*","20.2","16.5","*","19.8"
"359","2013","South Ayrshire","Fairly good","*","42.9","40.5","*","25.6","37.2"
"360","2013","South Lanarkshire","Fairly good","60.1","53.7","41.3","26.9","21.4","41.6"
"361","2013","Stirling","Fairly good","*","56.7","*","18.6","13.2","30.1"
"362","2013","West Dunbartonshire","Fairly good","61.8","46.2","38.2","*","*","47.9"
"363","2013","West Lothian","Fairly good","*","53.3","42.9","*","*","44"
"364","2013","Aberdeen City","Fairly poor","*","5.9","3","*","2.2","4.1"
