"","Year","Council","","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"242","2013","East Renfrewshire","Cycling (at least 30 min)","*","*","*","*","11.3","8.7"
"243","2013","Edinburgh, City of","Cycling (at least 30 min)","2.5","9.8","10.6","14.7","25.3","16.5"
"244","2013","Falkirk","Cycling (at least 30 min)","*","7","*","*","*","14.6"
"245","2013","Fife","Cycling (at least 30 min)","-","9.1","8.7","9.2","19.4","9.4"
"246","2013","Glasgow City","Cycling (at least 30 min)","5.1","8.5","6.8","12.6","11.1","7.3"
"247","2013","Highland","Cycling (at least 30 min)","*","9.1","10.6","29.7","*","15.9"
"248","2013","Inverclyde","Cycling (at least 30 min)","3.1","*","*","*","*","6.8"
"249","2013","Midlothian","Cycling (at least 30 min)","*","8","21.3","11.5","*","12.2"
"250","2013","Moray","Cycling (at least 30 min)","*","*","14.3","17","*","14.7"
"251","2013","Na h-Eileanan Siar","Cycling (at least 30 min)","-","18.6","13.4","*","-","15.3"
"252","2013","North Ayrshire","Cycling (at least 30 min)","10.3","5.7","*","*","*","9.9"
"253","2013","North Lanarkshire","Cycling (at least 30 min)","2.8","4.3","1.9","*","*","5.4"
"254","2013","Orkney Islands","Cycling (at least 30 min)","-","11.6","*","21.9","*","15.8"
"255","2013","Perth & Kinross","Cycling (at least 30 min)","*","*","*","14","27.1","14.1"
"256","2013","Renfrewshire","Cycling (at least 30 min)","1.1","3.8","13.2","*","*","7.8"
"257","2013","Scotland","Cycling (at least 30 min)","4.3","8.2","9.4","13.9","18","10.8"
"258","2013","Scottish Borders","Cycling (at least 30 min)","*","*","14.9","11.8","*","12.3"
"259","2013","Shetland Islands","Cycling (at least 30 min)","-","*","6","6.4","*","6.4"
"260","2013","South Ayrshire","Cycling (at least 30 min)","*","14","11.5","*","15.4","11.7"
"261","2013","South Lanarkshire","Cycling (at least 30 min)","3.2","9.7","3.4","11.8","9","7.3"
"262","2013","Stirling","Cycling (at least 30 min)","*","18.5","*","19.1","30.3","20.2"
"263","2013","West Dunbartonshire","Cycling (at least 30 min)","6.2","7.3","11.9","*","*","8.9"
"264","2013","West Lothian","Cycling (at least 30 min)","*","3","3.6","*","*","10"
"265","2013","Aberdeen City","Dancing","*","9.2","6.9","*","8.9","8.6"
"266","2013","Aberdeenshire","Dancing","*","*","8.1","5.9","5.3","6.7"
"267","2013","Angus","Dancing","*","*","1.9","10.5","*","7.6"
"268","2013","Argyll & Bute","Dancing","*","*","4.6","6.6","*","5"
"269","2013","Clackmannanshire","Dancing","10.1","9.4","11.1","*","*","10"
"270","2013","Dumfries & Galloway","Dancing","*","6.4","5.7","6.1","*","6.9"
"271","2013","Dundee City","Dancing","7.3","11.8","*","*","*","8.2"
"272","2013","East Ayrshire","Dancing","-","-","*","*","*","2.2"
"273","2013","East Dunbartonshire","Dancing","*","*","*","*","5.3","5.7"
"274","2013","East Lothian","Dancing","*","5.6","*","5","*","7.5"
"275","2013","East Renfrewshire","Dancing","*","*","*","*","5","5.6"
"276","2013","Edinburgh, City of","Dancing","3","4","9.2","7.8","9.3","7.6"
"277","2013","Falkirk","Dancing","*","4.7","*","*","*","6.7"
"278","2013","Fife","Dancing","6","6.2","5","11.4","15.1","8.8"
"279","2013","Glasgow City","Dancing","8.7","4.1","5.2","8.3","7.3","7.2"
"280","2013","Highland","Dancing","*","10.3","5.5","11.8","*","8"
"281","2013","Inverclyde","Dancing","10.5","*","*","*","*","8.6"
"282","2013","Midlothian","Dancing","*","14.4","8.8","4.3","*","8.9"
"283","2013","Moray","Dancing","*","*","5.8","9.5","*","6.3"
"284","2013","Na h-Eileanan Siar","Dancing","-","6.5","6.6","*","-","6.4"
"285","2013","North Ayrshire","Dancing","4.6","2.8","*","*","*","3.7"
"286","2013","North Lanarkshire","Dancing","6.8","6.1","6.4","*","*","5.6"
"287","2013","Orkney Islands","Dancing","-","19.4","*","8.5","*","9.9"
"288","2013","Perth & Kinross","Dancing","*","*","*","5.8","10.6","8.3"
"289","2013","Renfrewshire","Dancing","4.6","16.2","12.4","*","*","9.2"
"290","2013","Scotland","Dancing","6.5","6.6","6.6","7.7","8.3","7.1"
"291","2013","Scottish Borders","Dancing","*","*","5.7","3.7","*","6"
"292","2013","Shetland Islands","Dancing","-","*","10","11.6","*","10.1"
"293","2013","South Ayrshire","Dancing","*","3.3","3.8","*","7.2","6.8"
"294","2013","South Lanarkshire","Dancing","4","3.1","6.7","7.4","1","4.3"
"295","2013","Stirling","Dancing","*","4.9","*","21.6","22.6","15"
"296","2013","West Dunbartonshire","Dancing","6.6","4.2","7.6","*","*","6.4"
"297","2013","West Lothian","Dancing","*","10.3","3.4","*","*","7.5"
"298","2013","Aberdeen City","Football","*","6.7","3.8","*","7.2","7.5"
"299","2013","Aberdeenshire","Football","*","*","1.8","7.5","3.6","4.1"
"300","2013","Angus","Football","*","*","7.3","1.8","*","7.9"
"301","2013","Argyll & Bute","Football","*","*","7.2","7.2","*","6.5"
"302","2013","Clackmannanshire","Football","7.6","7.5","5","*","*","5.3"
"303","2013","Dumfries & Galloway","Football","*","4.1","6.3","2.2","*","4.3"
"304","2013","Dundee City","Football","9.5","7.3","*","*","*","11.9"
"305","2013","East Ayrshire","Football","13.9","3.8","*","*","*","8"
"306","2013","East Dunbartonshire","Football","*","*","*","*","9.3","7.6"
"307","2013","East Lothian","Football","*","4.7","*","10.6","*","8.2"
"308","2013","East Renfrewshire","Football","*","*","*","*","1","3.5"
"309","2013","Edinburgh, City of","Football","9.5","13.8","7.7","13.2","9.7","10.5"
"310","2013","Falkirk","Football","*","17.2","*","*","*","7.9"
"311","2013","Fife","Football","1.2","8.1","3.8","8","12.6","6.8"
"312","2013","Glasgow City","Football","7.3","11.2","10.5","13.3","1.3","8.8"
"313","2013","Highland","Football","*","8.4","1.9","9.6","*","5.6"
"314","2013","Inverclyde","Football","0.9","*","*","*","*","9.2"
"315","2013","Midlothian","Football","*","13","20.3","11.2","*","12.8"
"316","2013","Moray","Football","*","*","9.7","5.7","*","7.7"
"317","2013","Na h-Eileanan Siar","Football","-","9","4","*","-","5.5"
"318","2013","North Ayrshire","Football","8.5","12.6","*","*","*","10.4"
"319","2013","North Lanarkshire","Football","5.5","6.1","8","*","*","6.9"
"320","2013","Orkney Islands","Football","-","8.7","*","7.5","*","6.6"
"321","2013","Perth & Kinross","Football","*","*","*","8.5","6.9","10.4"
"322","2013","Renfrewshire","Football","9.4","12.3","2.5","*","*","9.2"
"323","2013","Scotland","Football","7.5","8.8","6.8","8.4","8.5","8"
"324","2013","Scottish Borders","Football","*","*","13.1","8.6","*","9.3"
"325","2013","Shetland Islands","Football","-","*","2.6","7.9","*","5.7"
"326","2013","South Ayrshire","Football","*","4.8","10.2","*","9.3","9.2"
"327","2013","South Lanarkshire","Football","5.1","5.6","5.6","8.7","7","6.3"
"328","2013","Stirling","Football","*","5.7","*","5.6","2.4","5.9"
"329","2013","West Dunbartonshire","Football","12.4","6.5","5.7","*","*","10"
"330","2013","West Lothian","Football","*","9.2","5.8","*","*","10.8"
"331","2013","Aberdeen City","Golf","*","6.1","7.9","*","9.7","8.4"
"332","2013","Aberdeenshire","Golf","*","*","4","10.9","8.6","7.6"
